Station id,Station Name,Longitude (degrees),Latitude (degrees),Elevation (m),Code,Abbreviation,Year,Jan,Feb,Mar,April,May,June,July,Aug,Sep,Oct,Nov,Dec
01AM001F,AKKARAIPATTU IRRIGATION,81.82,7.22,4,5,PRECIP,2019,136.3999996,199.6999979,DNA,21.39999962,0,7.900000095,53.5,72.5999999,91.0999999,251.9000007,234.8000002,547.8999925
01AM001F,AKKARAIPATTU IRRIGATION,81.82,7.22,4,5,PRECIP,2020,160.0000033,20.70000005,0,27.5,45.69999933,113.1000004,32.00000024,37.80000067,47.9000001,56.40000033,181.3000019,422.5
01AM001F,AKKARAIPATTU IRRIGATION,81.82,7.22,4,5,PRECIP,2021,416.2999992,237.7999995,103.5000005,32.30000019,34.9000001,23.59999943,77.39999914,11.10000038,33.29999924,121.0000005,491.3999944,185.5999961
01AM001F,AKKARAIPATTU IRRIGATION,81.82,7.22,4,5,PRECIP,2022,238.799999,196.5999998,31.20000076,12.5,6.5,22.80000067,30.69999933,52.29999948,18.39999986,112.7000006,320.400002,264.4000006
01AM001F,AKKARAIPATTU IRRIGATION,81.82,7.22,4,5,PRECIP,2023,184.4999995,348.5999975,115.8,46.39999962,7.300000072,45.29999971,5.700000197,15.5,76.09999824,58.89999986,289.8000014,427.2000028
01KI001B,AKKARAYANKULAM,80.35,9.3,31,5,PRECIP,2019,0,41.00000095,0,71.70000029,DNA,0,0,8.100000381,61.99999982,389.0999973,306.3999987,457.6999998
01KI001B,AKKARAYANKULAM,80.35,9.3,31,5,PRECIP,2020,44.69999981,18.60000014,0,79.30000114,152.3999977,77.5,67.19999993,19.60000038,91.400002,7.800000191,240.4000003,689.6999855
01KI001B,AKKARAYANKULAM,80.35,9.3,31,5,PRECIP,2021,212.6000005,25.59999967,12.89999962,56.49999928,65.49999958,27.09999999,9.700000405,52.59999943,32.60000008,425.799994,472.7000006,70.60000086
01KI001B,AKKARAYANKULAM,80.35,9.3,31,5,PRECIP,2022,99.30000043,124.9999979,30.30000114,155.1999974,21.39999962,15,27.19999909,33.89999914,13,233.6999961,277.2000043,267.9999998
01KI001B,AKKARAYANKULAM,80.35,9.3,31,5,PRECIP,2023,54.70000148,140.8000016,0,68.60000134,128.5000002,21.79999924,4.199999809,28.4000001,3.599999905,87.10000098,494.7000008,514.7999983
